name,LCD,PLD,density g/cm3,VSA_m2/cm3,GSA_m^2/g,Vp_cm3/g,void_fraction,u(mol/s),time(s),K,P_ads,P_desor,CH4,CO2,H_m,D_m,CH4_MTC,CO2_MTC,Purity,Recovery
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,298,1,0.2,0.85,0.15,0.25,0.01,0.01,0.02,0.050837577,0.98545
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,298,1,0.2,0.85,0.15,0.3,0.01,0.01,0.005,0.043588019,0.990516667
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,298,1,0.2,0.85,0.15,0.3,0.01,0.01,0.01,0.043324328,0.985483333
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,298,1,0.2,0.85,0.15,0.3,0.01,0.01,0.02,0.043208904,0.98295
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,288,1,0.2,0.5,0.5,0.2,0.01,0.01,0.005,0.158681364,0.9911
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,288,1,0.2,0.5,0.5,0.2,0.01,0.01,0.01,0.156881111,0.984025
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,288,1,0.2,0.5,0.5,0.2,0.01,0.01,0.02,0.153494106,0.979835
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,288,1,0.2,0.5,0.5,0.25,0.01,0.01,0.005,0.127589981,0.9908
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,288,1,0.2,0.5,0.5,0.25,0.01,0.01,0.01,0.126146091,0.98248
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,288,1,0.2,0.5,0.5,0.25,0.01,0.01,0.02,0.120743746,0.97719
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,288,1,0.2,0.5,0.5,0.3,0.01,0.01,0.005,0.103904345,0.99065
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,288,1,0.2,0.5,0.5,0.3,0.01,0.01,0.01,0.102740838,0.9808
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,288,1,0.2,0.5,0.5,0.3,0.01,0.01,0.02,0.102216922,0.97536
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,288,1,0.2,0.7,0.3,0.2,0.01,0.01,0.005,0.100900119,0.990091667
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,288,1,0.2,0.7,0.3,0.2,0.01,0.01,0.01,0.100593126,0.985083333
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,288,1,0.2,0.7,0.3,0.2,0.01,0.01,0.02,0.099970914,0.982441667
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,288,1,0.2,0.7,0.3,0.25,0.01,0.01,0.005,0.080002021,0.989541667
